,title,address,website,phone_number
0,BIG BITE Convenience Store (24 Hour),"52 Wardour Street, LONDON, W1D 6QU",,020 7434 4498
1,Sweet N Savoury,"237 Kilburn High Road, LONDON, NW6 7JN",,020 7625 7996
2,Kulan Cafe,"504 Neasden Lane North, London, NW10 0EA",,0330 113 0500
3,St Anna,"453 Fulham Rd, London, SW10 9UZ",https://www.facebook.com/st.anna.chelsea/,020 7751 5893
4,BlueBox.,"1386 High Rd, London, N20 9BH",,020 3675 5173
5,Bola Bola Boba,"Unit 18 The Market Place Peckham, Rye Lane, London, SE15 5EW",,07861 724878
6,Espresso Bar,"Trafalgar Square, London, WC2N 5DN",https://www.facebook.com/espressobarhackneydowns,020 7747 2885
7,Cafe in the Crypt,"within St. Martin in the Fields, Duncannon St, London, WC2N 4JF",http://www.smitf.org,020 7766 1158
8,Starbucks Coffee Co (UK) Ltd,"99 St Martins Lane, London, WC2N 4AS",http://www.starbucks.co.uk,020 7240 5789
9,Pret a Manger,"25 Villiers St, London, WC2N 6ND",http://www.pret.com,020 7932 5248
10,Tunnel Meal,"12 The Arches Villiers St, London, WC2N 6NG",http://www.tunnelmeals.co.uk,020 7839 6116
11,The Espresso Room,"24 New Row, Charing Cross, LONDON, WC2N 4LA",http://www.theespressoroom.co.uk,020 3583 6949
12,Bonapartes,"Charing Cross Station Strand, London, WC2N 5HS",http://www.compass-group.com,020 7930 9553
13,Waterstones Booksellers Ltd,"43891 Strand, London, WC2N 5EJ",,020 7839 5675
14,Notes,"31 St Martin's Lane, London, WC2N 4ER",http://www.notes-uk.co.uk,020 7240 0424
15,Costa Coffee,"Grand Building Strand, London, WC2N 5EJ",http://www.costa.co.uk,020 7839 5675
16,Nero Express,"Charing Cross Railway Station, The Strand, London, WC2N 5HS",,0203272 0055
17,Cafe La Roche,"39 St. Martin's Lane, London, WC2N 4ER",http://www.la-roche-london.co.uk,020 7240 8076
18,Espresso Bar,"Trafalgar Square, Charing Cross, LONDON, WC2N 5DN",,020 7747 2885
19,The Theatre Cafe,"99 St. Martin's Lane, London, WC2N 4AS",http://www.thetheatrecafe.co.uk,020 7851 0300
20,Caffe Nero,"36a St Martins Lane, London, WC2N 4ER",http://www.caffenero.co.uk,020 7836 5110
21,Costa,"22-24 Leicester Square, LONDON, WC2H 7JY",http://www.costa.co.uk,
22,Pret a Manger,"7-8 St Martin's Place, London, WC2N 4HA",https://locations.pret.co.uk,020 7930 6222
23,Soho Coffee Co,"41-42 Bedford St, London, WC2E 9HA",https://sohocoffee.com/?utm_source=ExtNet&utm_medium=Yext,020 3358 6779
24,Caffe Concerto,"5-6 Northumberland Avenue, Charing Cross, LONDON, WC2N 5BW",http://www.caffeconcerto.co.uk,020 7494 6844
25,Grace 40,"We serve London|Bromley,BR1",https://www.facebook.com/Grace-40-513267219079094,07786 367880
26,The Coffee Place,"61-63 Woodhouse Rd, London, N12 9ET",http://thecoffeeplace.info/,07491 602335
27,MAK Tea & Coffee Bar,"513 Kingsbury Rd, London, NW9 9EG",,07956 891199
28,Nature's Nest,"38 Totteridge Lane, London, N20 9QJ",,020 8519 5681
29,La Roche Coffee Shop,"39 St. Martin's Lane, London, WC2N 4ER",http://www.la-roche-london.co.uk,020 7240 3391
30,Starbucks Coffee Co (UK) Ltd,"14 Villiers St, London, WC2N 6NQ",http://www.starbucks.co.uk,020 7930 0649
31,Costa Coffee,"301-305, London, N7 8JU",http://www.costa.co.uk,020 7607 7769
32,Caffe Nero,"60-61 Trafalgar Square, London, WC2N 5DS",http://www.caffenero.com,020 7930 7929
33,Starbucks Coffee Co (UK) Ltd,"1-3 Villiers St, London, WC2N 6NN",http://www.starbucks.co.uk,020 7930 0649
34,Ella Mia,"45a St. Martin's Lane, London, WC2N 4HX",http://www.sbe.com,020 7300 5588
35,Tossed,"100 St Martins Lane, London, WC2N 4AZ",http://www.tosseduk.com,020 7836 3842
36,Pret a Manger,"1 Whitehall, London, SW1A 2DD",https://locations.pret.co.uk/london/1-whitehall,020 7932 5216
37,Eat,"1st Floor Unit R31, London, W2 1HB",http://www.eat.co.uk,0843 506 4040
38,Pret a Manger,"77-78 St Martin's Lane, London, WC2N 4AA",https://locations.pret.co.uk/london/77-78-st-martin's-lane,020 7932 5213
39,Fresh Fruit Smoothies & Juices,"Villiers Street, Charing Cross, LONDON, WC2N 6NE",,
40,La Chandelle,"2-3 Irving Street, London, WC2H 7AT",,02079 304727
41,Stephano's,"2-3 Irving St, London, WC2H 7AT",,020 7930 4727
42,Eat Ltd,"41-42 Bedford St, London, WC2E 9HA",http://www.eat.co.uk,0843 506 4040
43,BIG BITE Convenience Store (24 Hour),"52 Wardour Street, LONDON, W1D 6QU",,020 7434 4498
44,Coffee & Bake Ltd,"49 Villiers St, London, WC2N 6NE",http://www.coffeeandbake.co.uk,020 7839 5129
45,Pret a Manger,"62-65 Trafalgar Square, London, WC2N 5DS",https://locations.pret.co.uk/london/62-65-trafalgar-square,020 7932 5350
46,Pompidou,"35-37 Villiers St, London, WC2N 6ND",,020 7839 6010
47,Soho Coffee Company,"41 Bedford Street, Covent Garden, LONDON, WC2E 9HA",http://www.sohocoffee.co.uk,020 3358 6779
48,Costa Coffee,"13 Westminster, London, WC2N 4LF",http://www.costa.co.uk,020 7240 3423
49,Blues & Royals,"Villiers Street, Charing Cross, LONDON, WC2N 6NE",,
50,Bola Bola Boba,"Unit 18 The Market Place Peckham, Rye Lane, London, SE15 5EW",,07861 724878
51,Sweet N Savoury,"237 Kilburn High Road, LONDON, NW6 7JN",,020 7625 7996
52,Broomfield Cafe,"64 Aldermans Hill, London, N13 4PP",,020 3953 9615
53,St Anna,"453 Fulham Rd, London, SW10 9UZ",https://www.facebook.com/st.anna.chelsea/,020 7751 5893
54,New Row Coffee,"24 New Row, London, WC2N 4LA",http://www.newrowcoffee.co.uk,020 3583 6949
55,Caffe Nero,"10 Bedford St, London, WC2E 7HE",http://www.caffenero.com,020 7240 9399
56,Caffe Nero,"10a Bedford Street, London, WC2E 9HE",http://www.caffenero.co.uk,020 7240 9399
57,Filli Europe Ltd,"21 Charing Cross Rd, London, WC2H 0ET",,020 3982 3679
58,Costa Pronto,"Cranbourn Street, Chinatown, LONDON, WC2H 7AG",http://www.costa.co.uk,
59,Caffe Nero,"32 Cranbourn St, London, WC2H 7AD",http://www.caffenero.co.uk,020 7836 6772
60,Caffe Concerto,"43 Whitehall, London, SW1A 2BX",http://www.caffeconcerto.co.uk,020 7494 6846
61,Caffe Italiano,"1 Irving Street, Chinatown, LONDON, WC2H 7AT",,020 7930 4727
62,La Chandelle,"2-3 Irving Street, Chinatown, LONDON, WC2H 7AT",,020 7930 4727
63,Pret a Manger,"5 Pall Mall East, London, SW1Y 5BA",http://www.pret.com,020 7839 3995
64,Pret a Manger,"52 Haymarket, London, SW1Y 4RP",https://www.pret.co.uk/en-GB,020 7932 5246
65,Eli's Espresso Bar,"28 Bedfordbury, London, WC2N 4BJ",,020 7240 7810
66,Yaki Yaki,"4 New Row, Charing Cross, LONDON, WC2N 4LH",http://yakiyaki.co.uk,
67,Embankment Cafe,"25 Victoria Embankment, London, WC2R 2PN",,020 7930 1471
68,Monmouth Coffee Co.Ltd,"27 Monmouth St, London, WC2H 9DD",http://www.monmouthcoffee.co.uk,020 7232 3010
69,Maison Bertaux Ltd,"28 Greek St, London, W1D 5DQ",http://www.maisonbertaux.com,020 7437 6007
70,The Covent Garden Kafeneo,"12-14 Tavistock St, London, WC2E 7PH",http://www.kafeneo.co.uk,020 7240 8577
71,Canela Covent Garden Ltd,"33 Earlham St, London, WC2H 9LS",http://www.canelacafe.com,020 7240 6926
72,Host,"31 Henrietta Street, Covent Garden, LONDON, WC2E 8NA",http://www.hostcoffee.co.uk,
73,Coffee Club App Limited,"42 Cranbourn St, London, WC2H 7AN",http://www.coffeeclub.cc,07977 042253
74,Costa Coffee,"Leicester Square Station, Westminster, London, WC2H 0AP",http://www.costa.co.uk,020 7494 2456
75,MAK Tea & Coffee Bar,"513 Kingsbury Rd, London, NW9 9EG",,07956 891199
76,Pistachios in the Park - Red Lion Cafe,"Red Lion Square Gardens, London, WC1R 4QH",,020 3116 0024
77,Viet Cafe,"23 Haymarket, London, SW1Y 4DG",,0207839 3246
78,Costa,"39A Coventry Street, Chinatown, LONDON, W1D 6BZ",http://www.costa.co.uk,
79,Arabica,"5 King Street, London, WC2E 8SD",http://www.arabica.coffee,020 7379 9621
80,Caffe Nero,"29 Southampton St, London, WC2E 7JA",http://www.caffenero.com,020 7240 3433
81,Coffee Island,"4b Upper St Martin's Lane, London, WC2H 9NY",http://www.coffeeisland.co.uk,020 7836 3007
82,Avobar,"23-24 Henrietta Street, Covent Garden, LONDON, WC2E 8NA",http://www.avobar.co.uk,020 3701 6500
83,Caffe Nero,"Unit 1, 65-72, The Strand, London, WC2N 5LR",http://www.caffenero.com,020 7930 8483
84,Madd Hatters,"6-7 Great Newport Street, Chinatown, LONDON, WC2H 7JB",http://www.lovemaddhatters.co.uk,020 7836 8463
85,Yunique,"10 Little Newport Street, London, WC2H 7JJ",https://linktr.ee/yuniquetealondon,020 7287 6383
86,Pret a Manger,"39 Coventry St, London, W1D 6BZ",https://locations.pret.co.uk/london/39-coventry-street,020 3272 0090
